item_number,location_no,size_id,value,loc_width,loc_depth,loc_height,case_width,case_length,case_height
104318,F0729-5-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,12.6,16.5,4.9
105937,F0504-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,12.0,10.7
105937,F0610-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,12.0,10.7
105937,F0307-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,12.0,10.7
105937,F0619-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,12.0,10.7
105937,F0214-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.7,12.0,10.7
105937,F0202-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,15.7,12.0,10.7
105937,F0418-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,15.7,12.0,10.7
105937,F0504-5-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,15.7,12.0,10.7
105937,F0418-4-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,15.7,12.0,10.7
105937,F1109-2-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,15.7,12.0,10.7
105937,F1009-2-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,15.7,12.0,10.7
105937,F0722-3-2,140463,[New]A1(RSB10),40.00,48.00,60.00,15.7,12.0,10.7
105937,E0602-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,15.7,12.0,10.7
95371,F0728-2-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,17.1,15.9,6.0
95371,F0728-4-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,17.1,15.9,6.0
95371,E0702-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,17.1,15.9,6.0
103343,E0603-3-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,16.9,12.5,8.2
104615,F1303-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,11.9,14.5,7.4
104615,E1008-3-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,11.9,14.5,7.4
104615,F0923-3-1,140463,[New]A1(RSB10),40.00,48.00,60.00,11.9,14.5,7.4
104615,F0325-3-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,11.9,14.5,7.4
104615,E0717-2-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,11.9,14.5,7.4
96418,F1106-4-1,140403,[New]A2(RSB10),40.00,48.00,48.00,16.9,11.7,7.6
96418,E0921-3-1,140483,[New]C3b(RSB1),45.00,30.00,18.00,16.9,11.7,7.6
96418,E1305-4-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,16.9,11.7,7.6
92301,F0813-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,18.6,13.0,7.0
92301,F0718-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,18.6,13.0,7.0
92301,F0712-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,18.6,13.0,7.0
92301,F0721-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,18.6,13.0,7.0
92301,E0909-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,18.6,13.0,7.0
92301,E0813-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,18.6,13.0,7.0
92301,F0201-2-3,140463,[New]A1(RSB10),40.00,48.00,60.00,18.6,13.0,7.0
101363,F1312-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,13.9,9.5,3.6
101363,E1509-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,13.9,9.5,3.6
102065,F0316-4-1,140403,[New]A2(RSB10),40.00,48.00,48.00,20.3,15.4,8.0
102065,F0211-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,20.3,15.4,8.0
102065,F0317-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,20.3,15.4,8.0
102065,E1303-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,20.3,15.4,8.0
74079,D0214-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,12.0,20.0,12.0
74079,D0207-1-1,140403,[New]A2(RSB10),40.00,48.00,48.00,12.0,20.0,12.0
104338,E1004-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,19.5,13.5,24.7
17068,E0713-1-2,140477,[New]D3b(RSB1),45.00,24.00,12.00,16.6,13.0,6.9
17068,E1210-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,16.6,13.0,6.9
17068,F0916-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,16.6,13.0,6.9
29213,E0916-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,18.0,13.6,21.2
107648,F1307-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,15.4,22.5,11.6
107648,E1013-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,15.4,22.5,11.6
107648,E1013-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,15.4,22.5,11.6
13237,C0708-1-3,140212,[New]B1(RSB1),20.00,48.00,48.00,17.3,13.9,10.4
56117,C1002-1-2,140221,[New]A2(RSB1),40.00,48.00,48.00,0.0,0.0,0.0
56117,D0411-2-2,140463,[New]A1(RSB10),40.00,48.00,60.00,0.0,0.0,0.0
100645,F0209-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,14.5,21.2,9.3
100645,F1501-2-3,140463,[New]A1(RSB10),40.00,48.00,60.00,14.5,21.2,9.3
100645,F1214-2-3,140463,[New]A1(RSB10),40.00,48.00,60.00,14.5,21.2,9.3
100645,F0331-3-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,14.5,21.2,9.3
100645,F1514-2-2,140463,[New]A1(RSB10),40.00,48.00,60.00,14.5,21.2,9.3
100645,E0604-4-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,14.5,21.2,9.3
100645,E0606-3-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,14.5,21.2,9.3
2086594,C0721-2-2,140382,[New]H1(RSB1),15.00,30.00,12.00,0.0,0.0,0.0
86935,D0913-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,11.5,16.8,4.9
86935,D1005-2-1,140403,[New]A2(RSB10),40.00,48.00,48.00,11.5,16.8,4.9
86935,C0712-1-3,140382,[New]H1(RSB1),15.00,30.00,12.00,11.5,16.8,4.9
25503,C1014-1-3,140212,[New]B1(RSB1),20.00,48.00,48.00,14.4,23.0,13.4
103081,E0915-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,13.3,21.2,6.3
11857,C0615-3-3,33150,[New]E3(RSB1),20.00,30.00,20.00,6.8,13.6,11.7
34503,E0415-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,15.0,11.4,6.1
31736,F0617-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,16.2,10.6,8.0
31736,F0215-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,16.2,10.6,8.0
31736,E0312-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,16.2,10.6,8.0
31736,E1007-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,16.2,10.6,8.0
84654,C0811-2-6,140382,[New]H1(RSB1),15.00,30.00,12.00,8.4,12.0,10.1
84654,D1006-4-2,140463,[New]A1(RSB10),40.00,48.00,60.00,8.4,12.0,10.1
100048,E0414-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,19.8,15.0,8.1
2067974,C0822-3-6,140382,[New]H1(RSB1),15.00,30.00,12.00,0.0,0.0,0.0
83647,D0318-1-1,140403,[New]A2(RSB10),40.00,48.00,48.00,10.0,16.0,3.9
83647,C0612-2-4,33150,[New]E3(RSB1),20.00,30.00,20.00,10.0,16.0,3.9
104621,F0219-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,22.8,15.5,6.7
104621,E0205-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,22.8,15.5,6.7
8919,D0313-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,0.0,0.0,0.0
8919,C0519-3-3,140160,[New]CF1(RSB1),15.00,96.00,18.00,0.0,0.0,0.0
102980,F1612-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,14.3,8.9,11.0
102980,E1512-1-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,14.3,8.9,11.0
2074234,C0820-4-2,140382,[New]H1(RSB1),15.00,30.00,12.00,0.0,0.0,0.0
106671,F1308-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,19.2,13.0,10.9
106671,E1013-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,19.2,13.0,10.9
106671,F0713-4-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,19.2,13.0,10.9
106671,E0714-4-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,19.2,13.0,10.9
67594,E1607-1-2,140477,[New]D3b(RSB1),45.00,24.00,12.00,14.8,10.9,8.6
67594,E0317-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,14.8,10.9,8.6
67594,E1211-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,14.8,10.9,8.6
92120,E0511-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,20.0,11.6,5.9
92120,F0218-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,20.0,11.6,5.9
92120,F0917-5-1,140546,[New]B2a(RSB10),40.00,48.00,30.00,20.0,11.6,5.9
100899,F0426-4-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0424-2-3,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0329-4-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0426-5-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0426-4-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0426-5-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0525-3-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,F0425-5-1,140564,[New]DC Stk RSB5,1.00,1.00,1.00,16.4,13.9,9.6
100899,E0708-2-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,16.4,13.9,9.6
102452,E0213-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,19.6,15.5,10.7
102452,E0902-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,19.6,15.5,10.7
98555,D0304-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,19.4,13.3,7.9
98555,C0706-1-3,140212,[New]B1(RSB1),20.00,48.00,48.00,19.4,13.3,7.9
98555,C0705-1-1,140221,[New]A2(RSB1),40.00,48.00,48.00,19.4,13.3,7.9
45850,F0421-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,15.4,11.0,6.2
45850,E0507-1-2,140551,[Temp]C3a RSB2,40.00,30.00,18.00,15.4,11.0,6.2
45850,E0612-3-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,15.4,11.0,6.2
100766,D0909-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,21.4,13.1,7.3
